               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014229,           0.0084821,          0.00078574,             0.53962,             0.78571,             0.60208,             0.42937,           0.0071465,             0.02403,          8.7547e-05,              0.0991,              0.0001,              0.0001
                   1,            0.015856,            0.010204,          0.00080926,             0.55582,             0.78571,             0.60505,             0.42863,           0.0070408,            0.023891,          8.6689e-05,              0.0973,           0.0002999,           0.0002999
                   2,            0.014395,           0.0083188,          0.00071494,             0.56086,             0.78571,             0.60366,             0.43049,           0.0073304,            0.023829,          8.6689e-05,              0.0955,          0.00049967,          0.00049967
                   3,            0.011932,           0.0069499,          0.00058982,             0.54208,             0.78571,             0.60375,             0.43033,           0.0073723,            0.023887,          8.8406e-05,            0.093699,          0.00069931,          0.00069931
                   4,            0.011389,           0.0059262,          0.00046337,             0.54156,             0.78571,              0.6017,             0.43709,            0.007242,            0.023964,          8.9121e-05,            0.091899,          0.00089881,          0.00089881
                   5,            0.014814,           0.0073082,          0.00085639,             0.54616,             0.78571,             0.60086,             0.42835,           0.0072971,             0.02401,          9.0504e-05,            0.090098,           0.0010982,           0.0010982
                   6,            0.013812,           0.0066214,          0.00087518,             0.57426,             0.78571,             0.60016,             0.41994,           0.0077521,            0.024162,          9.0551e-05,            0.088297,           0.0012974,           0.0012974
                   7,            0.013348,           0.0080173,          0.00065298,             0.54628,             0.78571,             0.60514,             0.43394,           0.0072326,            0.023888,          9.1028e-05,            0.086497,           0.0014965,           0.0014965
                   8,            0.014244,           0.0073874,          0.00072359,             0.55123,             0.78571,              0.6053,              0.4322,           0.0076539,            0.023946,          9.0408e-05,            0.084696,           0.0016955,           0.0016955
                   9,            0.012308,           0.0062552,          0.00034604,             0.55356,             0.78571,              0.6077,             0.43382,           0.0074783,            0.023705,          8.7976e-05,            0.082894,           0.0018944,           0.0018944
                  10,            0.016317,           0.0078813,            0.001241,             0.55229,             0.78571,             0.60576,             0.44097,           0.0073137,            0.023902,          8.9645e-05,            0.081093,           0.0020931,           0.0020931
                  11,            0.015474,            0.007461,           0.0009468,             0.58175,             0.78571,             0.59782,             0.41814,            0.007887,            0.024186,          9.3651e-05,            0.079292,           0.0022917,           0.0022917
                  12,            0.016739,            0.007801,           0.0011744,             0.58375,             0.78571,             0.61492,             0.43558,            0.007476,             0.02397,          9.8991e-05,             0.07749,           0.0024901,           0.0024901
                  13,            0.015572,            0.007349,          0.00064352,               0.557,             0.71429,             0.63136,             0.44063,           0.0078562,            0.024134,          0.00010262,            0.075688,           0.0026884,           0.0026884
                  14,            0.011755,           0.0084067,          0.00061452,             0.55347,             0.71429,             0.62865,             0.41891,           0.0082021,            0.024072,          0.00010672,            0.073887,           0.0028866,           0.0028866
                  15,            0.013915,           0.0062141,          0.00050987,             0.56243,             0.71429,             0.62674,              0.4372,           0.0080305,            0.023964,          0.00010967,            0.072085,           0.0030847,           0.0030847
                  16,            0.016677,            0.007269,          0.00069616,             0.58761,             0.71429,             0.62532,             0.41748,           0.0086493,            0.023731,          0.00011501,            0.070283,           0.0032826,           0.0032826
                  17,            0.011599,            0.007697,           0.0006761,             0.57872,             0.71429,             0.62825,             0.43222,           0.0083325,            0.024086,          0.00011034,             0.06848,           0.0034804,           0.0034804
                  18,             0.01134,           0.0057605,          0.00058437,             0.57069,             0.71429,             0.62811,             0.43069,           0.0084623,            0.023765,          0.00010834,            0.066678,            0.003678,            0.003678
                  19,            0.016914,           0.0079333,          0.00072437,             0.57896,             0.71429,             0.62624,              0.4455,           0.0079388,            0.024128,           0.0001132,            0.064876,           0.0038755,           0.0038755
                  20,            0.018889,           0.0072434,           0.0011149,              0.5457,             0.71429,             0.62903,             0.35633,            0.010872,            0.023534,          0.00010834,            0.063073,           0.0040729,           0.0040729
                  21,             0.02242,           0.0079311,          0.00062682,             0.56804,             0.71429,             0.61969,             0.39617,            0.010268,            0.024138,          0.00010853,             0.06127,           0.0042702,           0.0042702
                  22,            0.016836,           0.0056606,            0.000382,             0.56316,             0.71429,             0.62825,             0.35391,           0.0092679,            0.023534,          0.00012026,            0.059467,           0.0044673,           0.0044673
                  23,            0.025239,           0.0069317,          0.00091576,               0.579,             0.71429,             0.64381,             0.44998,           0.0086372,             0.02427,          0.00012646,            0.057664,           0.0046643,           0.0046643
                  24,            0.016364,           0.0057697,          0.00054838,              0.5528,             0.78571,             0.63305,             0.44284,           0.0075351,            0.024119,           0.0001255,            0.055861,           0.0048612,           0.0048612
                  25,            0.017293,           0.0069782,          0.00078819,             0.56132,             0.78571,              0.6379,              0.4441,           0.0089201,            0.024059,          0.00012245,            0.054058,           0.0050579,           0.0050579
                  26,            0.019658,           0.0068448,           0.0010587,             0.57447,             0.78571,             0.62578,             0.38502,             0.01152,             0.02436,          0.00012856,            0.052255,           0.0052545,           0.0052545
                  27,            0.024169,           0.0068773,          0.00094537,             0.57447,             0.78571,             0.62578,             0.38502,             0.01152,             0.02436,          0.00012856,            0.050451,            0.005451,            0.005451
                  28,            0.023987,           0.0071541,          0.00098266,             0.56107,             0.71429,             0.63305,             0.39112,            0.010372,            0.023777,          0.00013885,            0.048647,           0.0056473,           0.0056473
